date,price
2010-01-04,4876.2998046875
2010-01-05,4924.2998046875
2010-01-06,4921.39990234375
2010-01-07,4899.39990234375
2010-01-08,4912.10009765625
2010-01-11,4950.7001953125
2010-01-12,4899.5
2010-01-13,4868.10009765625
2010-01-14,4898.0
2010-01-15,4899.60009765625
2010-01-18,4911.10009765625
2010-01-19,4861.2001953125
2010-01-20,4868.2001953125
2010-01-21,4827.2001953125
2010-01-22,4750.60009765625
2010-01-25,4717.89990234375
2010-01-27,4644.60009765625
2010-01-28,4673.2998046875
2010-01-29,4569.60009765625
2010-02-01,4524.10009765625
2010-02-02,4605.2998046875
2010-02-03,4647.89990234375
2010-02-04,4621.60009765625
2010-02-05,4514.10009765625
2010-02-08,4521.39990234375
2010-02-09,4505.10009765625
2010-02-10,4513.39990234375
2010-02-11,4554.2998046875
2010-02-12,4562.10009765625
2010-02-15,4545.5
2010-02-16,4567.7998046875
2010-02-17,4667.89990234375
2010-02-18,4654.89990234375
2010-02-19,4635.10009765625
2010-02-22,4717.5
2010-02-23,4718.2998046875
2010-02-24,4648.5
2010-02-25,4594.10009765625
2010-02-26,4637.7001953125
2010-03-01,4686.5
2010-03-02,4701.89990234375
2010-03-03,4735.7001953125
2010-03-04,4750.5
2010-03-05,4767.2001953125
2010-03-08,4807.89990234375
2010-03-09,4820.10009765625
2010-03-10,4820.0
2010-03-11,4814.2001953125
2010-03-12,4818.10009765625
2010-03-15,4784.10009765625
2010-03-16,4797.2001953125
2010-03-17,4853.2001953125
2010-03-18,4863.10009765625
2010-03-19,4872.2001953125
2010-03-22,4830.2001953125
2010-03-23,4874.7998046875
2010-03-24,4891.5
2010-03-25,4885.39990234375
2010-03-26,4896.89990234375
2010-03-29,4897.2998046875
2010-03-30,4916.7998046875
2010-03-31,4875.5
2010-04-01,4907.7001953125
2010-04-06,4953.7001953125
2010-04-07,4960.89990234375
2010-04-08,4937.89990234375
2010-04-09,4948.10009765625
2010-04-12,4984.2998046875
2010-04-13,4951.60009765625
2010-04-14,4994.7001953125
2010-04-15,5001.89990234375
2010-04-16,4984.7001953125
