date,price
2010-01-04,22.942546844482422
2010-01-05,23.088674545288086
2010-01-06,23.217613220214844
2010-01-07,23.037097930908203
2010-01-08,23.105863571166992
2010-01-11,23.002716064453125
2010-01-12,22.581514358520508
2010-01-13,22.86518096923828
2010-01-14,22.650283813476562
2010-01-15,22.435382843017578
2010-01-19,22.581514358520508
2010-01-20,22.461172103881836
2010-01-21,22.478363037109375
2010-01-22,22.443981170654297
2010-01-25,22.28925323486328
2010-01-26,22.10873794555664
2010-01-27,21.80788230895996
2010-01-28,21.98839569091797
2010-01-29,21.74770736694336
2010-02-01,21.71332359313965
2010-02-02,22.048566818237305
2010-02-03,21.78209114074707
2010-02-04,21.635963439941406
2010-02-05,21.386680603027344
2010-02-08,21.678939819335938
2010-02-09,21.71332359313965
2010-02-10,21.89383888244629
2010-02-11,21.936819076538086
2010-02-12,21.84226417541504
2010-02-16,22.263463973999023
2010-02-17,21.919626235961914
2010-02-18,22.014183044433594
2010-02-19,22.14312171936035
2010-02-22,21.936819076538086
2010-02-23,21.60157585144043
2010-02-24,21.84226417541504
2010-02-25,21.653154373168945
2010-02-26,21.83366584777832
2010-03-01,21.56719398498535
2010-03-02,21.56719398498535
2010-03-03,21.584386825561523
2010-03-04,21.446853637695312
2010-03-05,21.472637176513672
2010-03-08,21.403873443603516
2010-03-09,21.154590606689453
2010-03-10,21.077226638793945
2010-03-11,21.00845718383789
2010-03-12,21.128801345825195
2010-03-15,21.017057418823242
2010-03-16,21.06863021850586
2010-03-17,21.249143600463867
2010-03-18,21.412466049194336
2010-03-19,21.309316635131836
2010-03-22,21.231950759887695
2010-03-23,20.95688247680664
2010-03-24,20.95688247680664
2010-03-25,20.716196060180664
2010-03-26,20.664621353149414
2010-03-29,21.017057418823242
2010-03-30,21.154590606689453
2010-03-31,20.819345474243164
2010-04-01,20.9826717376709
2010-04-05,21.06863021850586
2010-04-06,21.02564811706543
2010-04-07,21.094419479370117
2010-04-08,20.931095123291016
2010-04-09,20.9396915435791
2010-04-12,21.03424644470215
2010-04-13,21.094419479370117
2010-04-14,21.145994186401367
2010-04-15,21.26633644104004
2010-04-16,21.128801345825195
2010-04-19,21.12020492553711
2010-04-20,21.257740020751953
2010-04-21,21.42966079711914
2010-04-22,21.50702476501465
2010-04-23,21.274932861328125
2010-04-26,21.257740020751953
2010-04-27,20.95688247680664
2010-04-28,21.0428409576416
